id	parent_taxon
Q27074693	Q17711431
Q27623619	Q973837
Q27603973	Q26902
Q27617754	Q903030
Q27602196	Q285165
Q28864861	Q1991437
Q27075656	Q2292985
Q10684448	Q743573
Q1269049	Q76408
Q41004378	Q2583832
Q27611895	Q641392
Q41217727	Q1885991
Q507590	Q431179
Q27633962	Q2454690
Q27074687	Q17711431
Q27631696	Q604473
Q1433119	Q688204
Q27635631	Q12255985
Q56342559	Q18536564
Q62127670	Q62127202
Q27629198	Q3726828
Q3043686	Q3078833
Q27603215	Q840349
Q27637800	Q1586576
Q41013756	Q310935
Q109670566	Q109670553
Q22232515	Q719380
Q62512280	Q28884441
Q41027948	Q226900
Q62385884	Q28836810
Q22231228	Q719380
Q55111992	Q946515
Q27625817	Q248603
Q27611325	Q1273301
Q610194	Q576979
Q41171423	Q1584705
Q27616993	Q903968
Q613297	Q574939
Q27627525	Q1091280
Q1272510	Q908697
Q40498154	Q182971
Q1588522	Q790026
Q40984626	Q857905
Q27626796	Q1307410
Q40989952	Q819388
Q28114551	Q10770062
Q1844461	Q1077909
Q27627678	Q3098479
Q752146	Q29904549
Q3727131	Q2455038
Q41014900	Q1081954
Q27627870	Q2669195
Q852351	Q25510
Q63891	Q733647
Q27617976	Q1264720
Q41001164	Q746986
Q27638740	Q516831
Q27629540	Q2224538
Q27617724	Q688012
Q40479880	Q198837
Q15632492	Q21216243
Q27636852	Q23056692
Q1307860	Q2214725
Q109577998	Q378278
Q19876015	Q10801705
Q27628212	Q416501
Q221422	Q540128
Q25263524	Q25263522
Q2668181	Q2104600
Q244077	Q2527969
Q40654116	Q811555
Q41079382	Q40653966
Q40588559	Q605732
Q16116529	Q3758978
Q41023205	Q28736344
Q27636620	Q1586166
Q27615076	Q882404
Q18418586	Q6471715
Q27629386	Q524799
Q40979916	Q2087565
Q1259524	Q2346826
Q109578029	Q25263522
Q1274102	Q539321
Q27610274	Q2998698
Q109563349	Q1088541
Q27631755	Q2673576
Q41006859	Q1088541
Q27621314	Q12256089
Q47544762	Q19965839
Q27617054	Q909211
Q27602154	Q754863
Q41075912	Q40654384
Q27619506	Q757013
Q31874244	Q869490
Q41081668	Q40654780
Q27610100	Q369680
Q905044	Q208221
Q19622523	Q26773
Q1304653	Q1088541
Q1305533	Q193807
Q40979302	Q369242
Q27617492	Q1261248
Q2708026	Q1066287
Q589171	Q992312
Q1082869	Q427512
Q27630748	Q3318494
Q538602	Q1187535
Q2600551	Q10808166
Q1589557	Q901041
Q27635587	Q27075822
Q27624767	Q1305790
Q27630501	Q605720
Q27634590	Q1304641
Q28733036	Q1083905
Q27627539	Q3315227
Q2663394	Q1037395
Q28381298	Q230042
Q2536264	Q550595
Q21127307	Q2399191
Q41102910	Q40655477
Q41005609	Q544722
Q27614951	Q30535
Q775281	Q10803027
Q28872688	Q15631675
Q27638223	Q2668350
Q533630	Q208221
Q27616784	Q28813014
Q62168474	Q25245251
Q1072916	Q1053111
Q27621537	Q3231542
Q2226171	Q652184
Q569758	Q287476
Q1027872	Q461021
Q10808426	Q863293
Q2189107	Q638242
Q27610265	Q1274483
Q40987482	Q867433
Q27625094	Q1585646
Q10832159	Q43624
Q40495007	Q1302540
Q3726845	Q843168
Q27608880	Q27375
Q20729263	Q20729272
Q41236215	Q40656341
Q1630204	Q19841797
Q27618251	Q1264771
Q126167	Q13649293
Q1923708	Q868619
Q578813	Q10744117
Q2745651	Q637716
Q27626406	Q2858123
Q27609779	Q305041
Q512061	Q468569
Q3131786	Q858279
Q27615468	Q940834
Q27624328	Q1313705
Q27615512	Q790627
Q5385553	Q20677632
Q27637544	Q240367
Q56509442	Q19479982
Q2498241	Q753221
Q28917130	Q1951184
Q1308362	Q2387360
Q40690868	Q3073755
Q3990453	Q25978
Q257006	Q15873814
Q1923230	Q719380
Q10809690	Q782355
Q623060	Q9304816
Q27635323	Q214571
Q27609772	Q277782
Q27610501	Q672286
Q3727740	Q81901857
Q2606563	Q669025
Q27618143	Q1276524
