audio_id	path	book_id	曲名	全長	分布	季節	環境
3_05	db/日本野鳥大鑑3/05 シロカモメ.wav	3	05 シロカモメ	71㎝、翼開長135㎝	おもに関東地方、北陸地方以北	冬鳥	海岸
3_06	db/日本野鳥大鑑3/06 カモメ.wav	3	06 カモメ	44.5㎝、翼開長115㎝	全国	冬鳥、一部越夏	海岸
3_07	db/日本野鳥大鑑3/07 ウミネコ.wav	3	07 ウミネコ	46.5㎝、翼開長120㎝	全国	留鳥または漂鳥	海岸
3_08	db/日本野鳥大鑑3/08 ズグロカモメ.wav	3	08 ズグロカモメ	32.5㎝	全国だがおもに九州	冬鳥	干潟、河口
3_09	db/日本野鳥大鑑3/09 ミツユビカモメ.wav	3	09 ミツユビカモメ	39㎝、翼開長92㎝	全国	冬鳥	海岸
3_10	db/日本野鳥大鑑3/10 アジサシ.wav	3	10 アジサシ	35㎝	全国	旅鳥	河口、内湾、岩礁などの海辺
3_11	db/日本野鳥大鑑3/11 キョクアジサシ.wav	3	11 キョクアジサシ	39㎝	太平洋岸でまれ	旅鳥	河口、海岸
3_12	db/日本野鳥大鑑3/12 ベニアジサシ.wav	3	12 ベニアジサシ	31㎝	種子島以南の南西諸島	夏鳥	離島の岩礁、外洋
3_13	db/日本野鳥大鑑3/13 エリグロアジサシ.wav	3	13 エリグロアジサシ	30㎝	馬毛島、種子島以南の南西諸島、南鳥島	夏鳥	離島の岩礁、外洋
3_14	db/日本野鳥大鑑3/14 セグロアジサシ.wav	3	14 セグロアジサシ	41㎝	小笠原諸島、南鳥島、沖縄諸島	夏鳥	繁殖期は離島の草地など。繁殖期以外は外洋
3_15	db/日本野鳥大鑑3/15 コアジサシ.wav	3	15 コアジサシ	28㎝	東北地方以南	夏鳥	海岸、河川
3_16	db/日本野鳥大鑑3/16 クロアジサシ.wav	3	16 クロアジサシ	39㎝	小笠原諸島、北硫黄島、南鳥島、沖縄諸島南部	夏鳥	離島の岩礁、外洋
